device_id,body_dims_mm,body_lenght_mm,body_width_mm,body_height_mm,body_dims_inch,body_lenght_inch,body_width_inch,body_height_inch,body_weight_g,body_weight_oz
6148,141.4 x 77.7 x 10.9,141.4,77.7,10.9,5.57 x 3.06 x 0.43,5.57,3.06,0.43,190.0,6.7
6147,115.5 x 63 x 10.4,115.5,63.0,10.4,4.55 x 2.48 x 0.41,4.55,2.48,0.41,128.7,4.52
6067,115.5 x 63 x 10.4,115.5,63.0,10.4,4.55 x 2.48 x 0.41,4.55,2.48,0.41,128.7,4.52
5833,137 x 71 x 9.8,137.0,71.0,9.8,5.39 x 2.80 x 0.39,5.39,2.8,0.39,167.0,5.89
5869,119.9 x 64 x 9.9,119.9,64.0,9.9,4.72 x 2.52 x 0.39,4.72,2.52,0.39,124.0,4.37
5760,162.8 x 85.4 x 8.7,162.8,85.4,8.7,6.41 x 3.36 x 0.34,6.41,3.36,0.34,209.0,7.37
5791,164.2 x 85.9 x 9.8,164.2,85.9,9.8,6.46 x 3.38 x 0.39,6.46,3.38,0.39,220.0,7.76
5438,133.3 x 72.3 x 9.2,133.3,72.3,9.2,5.25 x 2.85 x 0.36,5.25,2.85,0.36,159.0,5.61
5506,130.4 x 71.4 x 10.4,130.4,71.4,10.4,5.13 x 2.81 x 0.41,5.13,2.81,0.41,158.0,5.57
5451,129 x 70.6 x 8.5,129.0,70.6,8.5,5.08 x 2.78 x 0.33,5.08,2.78,0.33,139.0,4.9
5437,133 x 68.9 x 10.1,133.0,68.9,10.1,5.24 x 2.71 x 0.40,5.24,2.71,0.4,162.0,5.71
5321,127.9 x 67.5 x 9,127.9,67.5,9.0,5.04 x 2.66 x 0.35,5.04,2.66,0.35,128.0,4.52
5322,119.9 x 64 x 9.9,119.9,64.0,9.9,4.72 x 2.52 x 0.39,4.72,2.52,0.39,124.0,4.37
5150,118.1 x 61.2 x 11.3,118.1,61.2,11.3,4.65 x 2.41 x 0.44,4.65,2.41,0.44,131.0,4.62
5147,115.4 x 61.1 x 11,115.4,61.1,11.0,4.54 x 2.41 x 0.43,4.54,2.41,0.43,127.0,4.48
5090,127.8 x 68.4 x 11.2,127.8,68.4,11.2,5.03 x 2.69 x 0.44,5.03,2.69,0.44,141.6,4.97
5069,120.7 x 64.9 x 11.5,120.7,64.9,11.5,4.75 x 2.56 x 0.45,4.75,2.56,0.45,129.0,4.55
5024,127.8 x 68.4 x 10.9,127.8,68.4,10.9,5.03 x 2.69 x 0.43,5.03,2.69,0.43,145.0,5.11
4967,130.3 x 70.8 x 10.7,130.3,70.8,10.7,5.13 x 2.79 x 0.42,5.13,2.79,0.42,185.0,6.53
4968,123.8 x 68.5 x 9.9,123.8,68.5,9.9,4.87 x 2.70 x 0.39,4.87,2.7,0.39,160.0,5.64
4695,119 x 62 x 12,119.0,62.0,12.0,4.69 x 2.44 x 0.47,4.69,2.44,0.47,135.0,4.62
4662,116.5 x 61.2 x 12.1,116.5,61.2,12.1,4.59 x 2.41 x 0.48,4.59,2.41,0.48,142.0,5.01
4576,119 x 62 x 12,119.0,62.0,12.0,4.69 x 2.44 x 0.47,4.69,2.44,0.47,131.5,4.62
4578,127.8 x 68.5 x 11.5,127.8,68.5,11.5,5.03 x 2.70 x 0.45,5.03,2.7,0.45,160.0,5.64
4275,127.8 x 68.5 x 11.5,127.8,68.5,11.5,5.03 x 2.70 x 0.45,5.03,2.7,0.45,160.0,5.64
4240,116.5 x 61.2 x 12.1,116.5,61.2,12.1,4.59 x 2.41 x 0.48,4.59,2.41,0.48,142.0,5.01
4372,119 x 62.4 x 12.5,119.0,62.4,12.5,4.69 x 2.46 x 0.49,4.69,2.46,0.49,125.5,4.41
4276,119 x 62.4 x 12.5,119.0,62.4,12.5,4.69 x 2.46 x 0.49,4.69,2.46,0.49,125.5,4.41
4220,105.8 x 51 x 13.8,105.8,51.0,13.8,4.17 x 2.01 x 0.54,4.17,2.01,0.54,93.0,3.28
4223,105.8 x 51 x 13.8,105.8,51.0,13.8,4.17 x 2.01 x 0.54,4.17,2.01,0.54,93.0,3.28
4222,105.8 x 50.8 x 13.8,105.8,50.8,13.8,4.17 x 2.0 x 0.54,4.17,2.0,0.54,100.0,3.53
3398,116.5 x 61.2 x 12.1,116.5,61.2,12.1,4.59 x 2.41 x 0.48,4.59,2.41,0.48,135.0,4.76
3885,117.3 x 56.8 x 10.5,117.3,56.8,10.5,4.62 x 2.24 x 0.41,4.62,2.24,0.41,130.0,4.59
3578,105.8 x 51 x 13.8,105.8,51.0,13.8,4.17 x 2.01 x 0.54,4.17,2.01,0.54,93.0,3.28
3545,123.7 x 62.4 x 13.6,123.7,62.4,13.6,4.87 x 2.46 x 0.54,4.87,2.46,0.54,176.0,6.21
3524,103.8 x 52.5 x 13.9,103.8,52.5,13.9,4.09 x 2.07 x 0.55,4.09,2.07,0.55,131.0,4.62
3394,117.3 x 56.8 x 10.5,117.3,56.8,10.5,4.62 x 2.24 x 0.41,4.62,2.24,0.41,130.0,4.59
3397,111 x 51 x 13.8,111.0,51.0,13.8,4.37 x 2.01 x 0.54,4.37,2.01,0.54,122.0,4.3
3390,111 x 51.7 x 14.5,111.0,51.7,14.5,4.37 x 2.04 x 0.57,4.37,2.04,0.57,113.0,3.99
3252,113.5 x 59.1 x 12.9,113.5,59.1,12.9,4.47 x 2.33 x 0.51,4.47,2.33,0.51,135.0,4.76
3109,111 x 51 x 13.8,111.0,51.0,13.8,4.37 x 2.01 x 0.54,4.37,2.01,0.54,122.0,4.3
12773,147 x 70.6 x 7.6,147.0,70.6,7.6,5.79 x 2.78 x 0.30,5.79,2.78,0.3,167.0,5.89
12784,169 x 80.1 x 10.2,169.0,80.1,10.2,6.65 x 3.15 x 0.40,6.65,3.15,0.4,240.0,8.47
12785,213.8 x 126.8 x 10.1,213.8,126.8,10.1,8.42 x 4.99 x 0.40,8.42,4.99,0.4,433.0,15.27
12616,211 x 124.7 x 8,211.0,124.7,8.0,8.31 x 4.91 x 0.31,8.31,4.91,0.31,332.0,11.71
12520,158 x 76.5 x 8.2,158.0,76.5,8.2,6.22 x 3.01 x 0.32,6.22,3.01,0.32,209.0,7.37
12584,168 x 77.8 x 8.8,168.0,77.8,8.8,6.61 x 3.06 x 0.35,6.61,3.06,0.35,194.0,6.84
12583,168.8 x 78.2 x 8.8,168.8,78.2,8.8,6.65 x 3.08 x 0.35,6.65,3.08,0.35,195.0,6.88
12189,164.9 x 77.3 x 8.4,164.9,77.3,8.4,6.49 x 3.04 x 0.33,6.49,3.04,0.33,199.0,7.02
12074,161.3 x 78.1 x 8.2,161.3,78.1,8.2,6.35 x 3.07 x 0.32,6.35,3.07,0.32,199.0,7.02
12024,163.4 x 78.1 x 8.9,163.4,78.1,8.9,6.43 x 3.07 x 0.35,6.43,3.07,0.35,234.0,8.25
12083,157.8 x 76.2 x 7.6,157.8,76.2,7.6,6.21 x 3.00 x 0.30,6.21,3.0,0.3,196.0,6.91
